source_gww_id,source_gdw_id,target_gww_id,target_gdw_id,year,season,hops,direct,source_delta_storage_mcm,source_full_runoff_mcm,target_full_runoff_mcm,pair_impact_ratio,pair_impact_pct_of_target_runoff,pair_impact_days,runoff_coverage_pct,area_coverage_pct,activity_share_pct,drawdown_share_pct,fill_share_pct,signed_storage_change_share_pct
21623,22796,17311,22853,2001,dry,1,1,0.524,0.191226,38.114895,0.013748,1.374791,1.237312,0.501709,0.53248,0.561545,,2.274019,-1.109509
26992,22794,17311,22853,2001,dry,1,1,4.67,0.191226,38.114895,0.122524,12.252428,11.027185,0.501709,0.53248,5.004613,,20.266546,-9.888181
44124,22795,17311,22853,2001,dry,1,1,8.681,0.904609,38.114895,0.227759,22.775873,20.498286,2.373373,2.021205,9.303008,,37.67321,-18.381006
45325,22805,17311,22853,2001,dry,1,1,-5.394,0.371646,38.114895,-0.141519,-14.151948,-12.736753,0.975067,0.97693,5.780489,7.675997,,11.421167
70830,10451,17311,22853,2001,dry,1,1,2.18,1.443144,38.114895,0.057195,5.719549,5.147594,3.786298,3.318143,2.336201,,9.460615,-4.615896
77528,6576,17311,22853,2001,dry,1,1,6.792,22.453303,38.114895,0.178198,17.819805,16.037825,58.909524,55.96254,7.278658,,29.475457,-14.381269
64733,22804,17311,22853,2001,dry,2,0,-0.159,0.215428,38.114895,-0.004172,-0.41716,-0.375444,0.565207,0.525348,0.170393,0.226267,,0.336664
76686,10459,17311,22853,2001,dry,2,0,-41.81,3.74076,38.114895,-1.096946,-109.694649,-98.725184,9.814432,7.79976,44.805758,59.498228,,88.527804
23471,22818,17311,22853,2001,dry,3,0,0.1959,3.90448,38.114895,0.00514,0.513972,0.462575,10.243974,8.207418,0.209937,,0.850153,-0.414795
68612,10457,17311,22853,2001,dry,3,0,0.0,1.678475,38.114895,0.0,0.0,0.0,4.403723,3.896252,0.0,,,-0.0
47377,22814,17311,22853,2001,dry,4,0,-22.908,0.347724,38.114895,-0.601025,-60.102488,-54.092239,0.912303,0.946313,24.549397,32.599508,,48.505021
21623,22796,17311,22853,2001,pre_monsoon,1,1,-2.094,0.105845,20.942017,-0.09999,-9.999037,-9.099123,0.505418,0.53248,1.455046,1.77048,,2.260534
26992,22794,17311,22853,2001,pre_monsoon,1,1,-14.99,0.105845,20.942017,-0.715786,-71.578587,-65.136514,0.505418,0.53248,10.416015,12.674068,,16.182138
44124,22795,17311,22853,2001,pre_monsoon,1,1,-6.519,0.347963,20.942017,-0.311288,-31.128807,-28.327214,1.661554,2.021205,4.52982,5.511824,,7.037449
45325,22805,17311,22853,2001,pre_monsoon,1,1,-40.261,0.150381,20.942017,-1.922499,-192.249867,-174.947379,0.718085,0.97693,27.97593,34.040736,,43.462913
70830,10451,17311,22853,2001,pre_monsoon,1,1,-10.07,0.583858,20.942017,-0.480851,-48.085148,-43.757485,2.787973,3.318143,6.997283,8.5142,,10.870856
77528,6576,17311,22853,2001,pre_monsoon,1,1,-15.123,15.299416,20.942017,-0.722137,-72.213674,-65.714443,73.056076,55.96254,10.508432,12.786519,,16.325715
64733,22804,17311,22853,2001,pre_monsoon,2,0,0.0,0.066708,20.942017,0.0,0.0,0.0,0.318537,0.525348,0.0,,,-0.0
76686,10459,17311,22853,2001,pre_monsoon,2,0,25.64,1.140861,20.942017,1.224333,122.433287,111.414291,5.447712,7.79976,17.81632,,100.0,-27.679121
23471,22818,17311,22853,2001,pre_monsoon,3,0,0.0,1.187731,20.942017,0.0,0.0,0.0,5.67152,8.207418,0.0,,,-0.0
68612,10457,17311,22853,2001,pre_monsoon,3,0,-19.55,0.592046,20.942017,-0.93353,-93.352994,-84.951225,2.827074,3.896252,13.584596,16.529555,,21.10479
47377,22814,17311,22853,2001,pre_monsoon,4,0,-9.666,0.113638,20.942017,-0.46156,-46.156012,-42.001971,0.542632,0.946313,6.716558,8.172618,,10.434726
21623,22796,17311,22853,2001,monsoon,1,1,-3.964,0.24671,61.938085,-0.063999,-6.39994,-5.887944,0.398317,0.53248,2.085274,4.220389,,-176.578021
26992,22794,17311,22853,2001,monsoon,1,1,-26.657,0.24671,61.938085,-0.430381,-43.03814,-39.595089,0.398317,0.53248,14.022996,28.381155,,-1187.447102
44124,22795,17311,22853,2001,monsoon,1,1,32.215,0.443645,61.938085,0.520116,52.011618,47.850688,0.716271,2.021205,16.946799,,33.498007,1435.030514
45325,22805,17311,22853,2001,monsoon,1,1,7.385,0.276259,61.938085,0.119232,11.923197,10.969341,0.446025,0.97693,3.884902,,7.679118,328.967883
70830,10451,17311,22853,2001,monsoon,1,1,-39.56,0.843895,61.938085,-0.638702,-63.870234,-58.760616,1.362482,3.318143,20.810658,42.118712,,-1762.21658
77528,6576,17311,22853,2001,monsoon,1,1,-2.806,52.486352,61.938085,-0.045303,-4.530331,-4.167904,84.74003,55.96254,1.476105,2.98749,,-124.994432
64733,22804,17311,22853,2001,monsoon,2,0,-15.187,0.075598,61.938085,-0.245196,-24.519647,-22.558076,0.122054,0.525348,7.989168,16.169284,,-676.511203
76686,10459,17311,22853,2001,monsoon,2,0,53.63,1.284575,61.938085,0.865865,86.586468,79.65955,2.073967,7.79976,28.212225,,55.765889,2388.970555
23471,22818,17311,22853,2001,monsoon,3,0,2.9399,1.334917,61.938085,0.047465,4.746514,4.366793,2.155245,8.207418,1.546543,,3.056986,130.959063
68612,10457,17311,22853,2001,monsoon,3,0,0.0,0.723492,61.938085,0.0,0.0,0.0,1.168088,3.896252,0.0,,,0.0
47377,22814,17311,22853,2001,monsoon,4,0,-5.751,0.158701,61.938085,-0.092851,-9.285079,-8.542273,0.256226,0.946313,3.025331,6.12297,,-256.180676
21623,22796,17311,22853,2001,winter,1,1,-5.927,0.411793,83.658529,-0.070848,-7.084753,-6.517973,0.492231,0.53248,3.086293,5.40544,,21.746548
26992,22794,17311,22853,2001,winter,1,1,-23.8068,0.411793,83.658529,-0.284571,-28.45711,-26.180542,0.492231,0.53248,12.396618,21.711866,,87.348697
44124,22795,17311,22853,2001,winter,1,1,-15.689,0.881834,83.658529,-0.187536,-18.753617,-17.253328,1.054087,2.021205,8.169537,14.30841,,57.563961
45325,22805,17311,22853,2001,winter,1,1,14.873,0.548255,83.658529,0.177782,17.778223,16.355965,0.655349,0.97693,7.744632,,18.051094,-54.570004
70830,10451,17311,22853,2001,winter,1,1,-15.27,1.60745,83.658529,-0.182528,-18.252771,-16.79255,1.921442,3.318143,7.951357,13.926281,,56.026623
77528,6576,17311,22853,2001,winter,1,1,-1.49,62.870165,83.658529,-0.01781,-1.78105,-1.638566,75.150933,55.96254,0.775869,1.358884,,5.466907
64733,22804,17311,22853,2001,winter,2,0,-45.018,0.203191,83.658529,-0.538116,-53.811608,-49.50668,0.242882,0.525348,23.441662,41.056537,,165.173969
76686,10459,17311,22853,2001,winter,2,0,66.28,3.087946,83.658529,0.792268,79.226829,72.888683,3.691131,7.79976,34.513158,,80.442848,-243.185629
23471,22818,17311,22853,2001,winter,3,0,1.2409,3.24012,83.658529,0.014833,1.483292,1.364628,3.873031,8.207418,0.646158,,1.506058,-4.552943
68612,10457,17311,22853,2001,winter,3,0,0.0,1.613621,83.658529,0.0,0.0,0.0,1.928819,3.896252,0.0,,,-0.0
47377,22814,17311,22853,2001,winter,4,0,-2.448,0.404899,83.658529,-0.029262,-2.926181,-2.692087,0.48399,0.946313,1.274717,2.232583,,8.981871
21623,22796,17311,22853,2002,dry,1,1,-9.5055,0.088176,13.208592,-0.719645,-71.964521,-64.768069,0.667568,0.53248,0.067625,0.067635,,0.067645
26992,22794,17311,22853,2002,dry,1,1,-3.7941,0.088176,13.208592,-0.287245,-28.724485,-25.852036,0.667568,0.53248,0.026992,0.026996,,0.027
44124,22795,17311,22853,2002,dry,1,1,-10.81,0.187942,13.208592,-0.818407,-81.840668,-73.656601,1.422877,2.021205,0.076905,0.076917,,0.076928
45325,22805,17311,22853,2002,dry,1,1,2.066,0.100973,13.208592,0.156413,15.641334,14.077201,0.764446,0.97693,0.014698,,100.0,-0.014702
70830,10451,17311,22853,2002,dry,1,1,-81.43,0.342957,13.208592,-6.164927,-616.492653,-554.843388,2.596471,3.318143,0.579315,0.579401,,0.579486
77528,6576,17311,22853,2002,dry,1,1,-2.887,9.983111,13.208592,-0.21857,-21.856985,-19.671287,75.580435,55.96254,0.020539,0.020542,,0.020545
64733,22804,17311,22853,2002,dry,2,0,-244.547,0.030482,13.208592,-18.514237,-1851.423663,-1666.281297,0.230775,0.525348,1.739775,1.740031,,1.740286
76686,10459,17311,22853,2002,dry,2,0,-13434.58,0.500181,13.208592,-1017.109158,-101710.91575,-91539.824175,3.786785,7.79976,95.577309,95.591359,,95.605414
23471,22818,17311,22853,2002,dry,3,0,-5.4536,0.519946,13.208592,-0.412883,-41.288276,-37.159449,3.936421,8.207418,0.038798,0.038804,,0.03881
68612,10457,17311,22853,2002,dry,3,0,-260.991,0.301374,13.208592,-19.759184,-1975.918385,-1778.326546,2.281654,3.896252,1.856762,1.857035,,1.857308
47377,22814,17311,22853,2002,dry,4,0,-0.18,0.060125,13.208592,-0.013627,-1.362749,-1.226474,0.4552,0.946313,0.001281,0.001281,,0.001281
21623,22796,17311,22853,2002,pre_monsoon,1,1,0.0,0.107644,22.644744,0.0,0.0,0.0,0.475359,0.53248,0.0,,,-0.0
26992,22794,17311,22853,2002,pre_monsoon,1,1,-0.7467,0.107644,22.644744,-0.032975,-3.297454,-3.000683,0.475359,0.53248,0.272134,0.281454,,0.291435
44124,22795,17311,22853,2002,pre_monsoon,1,1,9.086,0.291069,22.644744,0.401241,40.124101,36.512932,1.285369,2.021205,3.311385,,100.0,-3.546245
45325,22805,17311,22853,2002,pre_monsoon,1,1,-22.172,0.141572,22.644744,-0.979123,-97.912345,-89.100234,0.625189,0.97693,8.080567,8.357309,,8.65368
70830,10451,17311,22853,2002,pre_monsoon,1,1,-8.834,0.505401,22.644744,-0.390113,-39.01126,-35.500247,2.231869,3.318143,3.219544,3.329807,,3.44789
77528,6576,17311,22853,2002,pre_monsoon,1,1,-26.812,16.740457,22.644744,-1.184028,-118.402751,-107.746503,73.926459,55.96254,9.771611,10.106268,,10.464661
64733,22804,17311,22853,2002,pre_monsoon,2,0,-4.206,0.055235,22.644744,-0.185738,-18.573846,-16.9022,0.24392,0.525348,1.532873,1.585371,,1.641592
76686,10459,17311,22853,2002,pre_monsoon,2,0,-202.53,0.823983,22.644744,-8.943797,-894.379724,-813.885549,3.638738,7.79976,73.811887,76.339791,,79.046987
23471,22818,17311,22853,2002,pre_monsoon,3,0,0.0,0.86245,22.644744,0.0,0.0,0.0,3.808608,8.207418,0.0,,,-0.0
68612,10457,17311,22853,2002,pre_monsoon,3,0,0.0,0.493366,22.644744,0.0,0.0,0.0,2.178722,3.896252,0.0,,,-0.0
47377,22814,17311,22853,2002,pre_monsoon,4,0,0.0,0.112048,22.644744,0.0,0.0,0.0,0.494808,0.946313,0.0,,,-0.0
21623,22796,17311,22853,2002,monsoon,1,1,0.0,0.636404,147.071828,0.0,0.0,0.0,0.432716,0.53248,0.0,,,0.0
26992,22794,17311,22853,2002,monsoon,1,1,-0.7667,0.636404,147.071828,-0.005213,-0.52131,-0.479605,0.432716,0.53248,1.070859,2.997885,,-3.749639
44124,22795,17311,22853,2002,monsoon,1,1,18.116,1.14001,147.071828,0.123178,12.317791,11.332367,0.775138,2.021205,25.302842,,39.363783,88.598495
45325,22805,17311,22853,2002,monsoon,1,1,9.806,0.772835,147.071828,0.066675,6.66749,6.134091,0.525481,0.97693,13.696162,,21.307201,47.957432
70830,10451,17311,22853,2002,monsoon,1,1,0.0,2.17069,147.071828,0.0,0.0,0.0,1.475939,3.318143,0.0,,,0.0
77528,6576,17311,22853,2002,monsoon,1,1,-24.173,119.414322,147.071828,-0.164362,-16.436187,-15.121292,81.194559,55.96254,33.762729,94.519193,,-118.220988
64733,22804,17311,22853,2002,monsoon,2,0,-0.635,0.242322,147.071828,-0.004318,-0.431762,-0.397221,0.164765,0.525348,0.886912,2.482923,,-3.105544
76686,10459,17311,22853,2002,monsoon,2,0,18.1,3.623814,147.071828,0.123069,12.306912,11.322359,2.463976,7.79976,25.280495,,39.329017,88.520245
23471,22818,17311,22853,2002,monsoon,3,0,0.0,3.800257,147.071828,0.0,0.0,0.0,2.583947,8.207418,0.0,,,0.0
68612,10457,17311,22853,2002,monsoon,3,0,0.0,2.018525,147.071828,0.0,0.0,0.0,1.372476,3.896252,0.0,,,0.0
47377,22814,17311,22853,2002,monsoon,4,0,0.0,0.502075,147.071828,0.0,0.0,0.0,0.341381,0.946313,0.0,,,0.0
21623,22796,17311,22853,2002,winter,1,1,72.4389,0.416291,73.778759,0.981839,98.18395,90.329234,0.564242,0.53248,5.443277,,5.628837,5.827494
26992,22794,17311,22853,2002,winter,1,1,-34.5908,0.416291,73.778759,-0.468845,-46.884497,-43.133737,0.564242,0.53248,2.599257,78.846978,,-2.782727
44124,22795,17311,22853,2002,winter,1,1,-9.28,0.98392,73.778759,-0.125781,-12.578146,-11.571894,1.333609,2.021205,0.697327,21.153022,,-0.746548
45325,22805,17311,22853,2002,winter,1,1,51.794,0.536557,73.778759,0.702018,70.201777,64.585635,0.727251,0.97693,3.891957,,4.024633,4.166673
70830,10451,17311,22853,2002,winter,1,1,99.755,1.755104,73.778759,1.352083,135.208291,124.391628,2.378874,3.318143,7.495891,,7.751424,8.024993
77528,6576,17311,22853,2002,winter,1,1,411.223,50.108459,73.778759,5.573732,557.373157,512.783304,67.917188,55.96254,30.900536,,31.953924,33.081666
64733,22804,17311,22853,2002,winter,2,0,259.688,0.196777,73.778759,3.519821,351.982064,323.823499,0.266713,0.525348,19.513739,,20.178955,20.891126
76686,10459,17311,22853,2002,winter,2,0,255.87,2.983244,73.778759,3.468071,346.807133,319.062562,4.0435,7.79976,19.226843,,19.882279,20.583979
23471,22818,17311,22853,2002,winter,3,0,0.0,3.123324,73.778759,0.0,0.0,0.0,4.233365,8.207418,0.0,,,0.0
68612,10457,17311,22853,2002,winter,3,0,74.913,1.701136,73.778759,1.015374,101.537354,93.414366,2.305726,3.896252,5.629189,,5.821086,6.026528
47377,22814,17311,22853,2002,winter,4,0,61.243,0.438586,73.778759,0.83009,83.008986,76.368267,0.594461,0.946313,4.601984,,4.758864,4.926817
21623,22796,17311,22853,2003,dry,1,1,-27.399,0.099976,15.319703,-1.788481,-178.84811,-160.963299,0.652597,0.53248,4.435153,8.27212,,61.332348
26992,22794,17311,22853,2003,dry,1,1,87.2847,0.099976,15.319703,5.697545,569.754504,512.779054,0.652597,0.53248,14.129019,,30.460761,-195.385804
44124,22795,17311,22853,2003,dry,1,1,0.566,0.38373,15.319703,0.036946,3.694589,3.32513,2.504815,2.021205,0.09162,,0.197524,-1.266985
45325,22805,17311,22853,2003,dry,1,1,4.532,0.135844,15.319703,0.295828,29.582818,26.624536,0.886726,0.97693,0.733608,,1.581585,-10.14483
70830,10451,17311,22853,2003,dry,1,1,-180.157,0.628964,15.319703,-11.759823,-1175.9823,-1058.38407,4.105588,3.318143,29.162519,54.391781,,403.279386
77528,6576,17311,22853,2003,dry,1,1,-32.38,8.730832,15.319703,-2.113618,-211.361795,-190.225615,56.990869,55.96254,5.241441,9.77595,,72.48226
64733,22804,17311,22853,2003,dry,2,0,-8.272,0.061292,15.319703,-0.539958,-53.995824,-48.596241,0.400087,0.525348,1.339012,2.497426,,18.516777
76686,10459,17311,22853,2003,dry,2,0,182.46,0.946239,15.319703,11.910152,1191.015228,1071.913705,6.176614,7.79976,29.535312,,63.675196,-408.434625
23471,22818,17311,22853,2003,dry,3,0,11.7053,0.985569,15.319703,0.764068,76.406832,68.766149,6.433343,8.207418,1.89477,,4.084935,-26.20218
68612,10457,17311,22853,2003,dry,3,0,-82.817,0.612198,15.319703,-5.405914,-540.591407,-486.532266,3.996145,3.896252,13.40582,25.003547,,185.384908
47377,22814,17311,22853,2003,dry,4,0,-0.196,0.118926,15.319703,-0.012794,-1.279398,-1.151458,0.776292,0.946313,0.031727,0.059175,,0.438744
21623,22796,17311,22853,2003,pre_monsoon,1,1,-1.226,0.130721,27.532947,-0.044528,-4.452847,-4.052091,0.474779,0.53248,0.542415,0.785746,,1.425018
26992,22794,17311,22853,2003,pre_monsoon,1,1,3.377,0.130721,27.532947,0.122653,12.265305,11.161428,0.474779,0.53248,1.494076,,4.824561,-3.925192
44124,22795,17311,22853,2003,pre_monsoon,1,1,0.365,0.337805,27.532947,0.013257,1.325684,1.206373,1.226913,2.021205,0.161486,,0.521458,-0.424251
45325,22805,17311,22853,2003,pre_monsoon,1,1,-10.763,0.167404,27.532947,-0.390913,-39.091347,-35.573126,0.608013,0.97693,4.761842,6.898032,,12.51017
70830,10451,17311,22853,2003,pre_monsoon,1,1,55.872,0.591709,27.532947,2.029278,202.927785,184.664285,2.149095,3.318143,24.71928,,79.821704,-64.941767
77528,6576,17311,22853,2003,pre_monsoon,1,1,-104.639,20.800001,27.532947,-3.800501,-380.050124,-345.845613,75.545858,55.96254,46.295116,67.063385,,121.625171
64733,22804,17311,22853,2003,pre_monsoon,2,0,10.382,0.062602,27.532947,0.377076,37.707551,34.313871,0.227372,0.525348,4.593277,,14.832276,-12.067322
76686,10459,17311,22853,2003,pre_monsoon,2,0,-29.02,0.925013,27.532947,-1.05401,-105.400994,-95.914904,3.359659,7.79976,12.839231,18.598987,,33.730851
23471,22818,17311,22853,2003,pre_monsoon,3,0,-2.767,0.968155,27.532947,-0.100498,-10.049778,-9.145298,3.51635,8.207418,1.224195,1.773377,,3.21617
68612,10457,17311,22853,2003,pre_monsoon,3,0,-4.755,0.567604,27.532947,-0.172702,-17.270218,-15.715898,2.061544,3.896252,2.10374,3.047491,,5.526885
47377,22814,17311,22853,2003,pre_monsoon,4,0,-2.86,0.123326,27.532947,-0.103876,-10.387555,-9.452675,0.447921,0.946313,1.265341,1.832981,,3.324267
21623,22796,17311,22853,2003,monsoon,1,1,-1.8,0.359279,88.481795,-0.020343,-2.034317,-1.871571,0.406049,0.53248,0.490314,0.769906,,1.79144
26992,22794,17311,22853,2003,monsoon,1,1,1.271,0.359279,88.481795,0.014365,1.436454,1.321537,0.406049,0.53248,0.346216,,0.953367,-1.264956
