target_gww_id,target_gdw_id,year,season,upstream_count,target_full_runoff_mcm,target_delta_storage_mcm,upstream_delta_storage_mcm,system_delta_storage_mcm,upstream_drawdown_proxy_mcm,upstream_fill_proxy_mcm,upstream_impact_ratio,upstream_impact_pct_of_target_runoff,upstream_impact_days,system_impact_ratio,system_impact_pct_of_target_runoff,system_impact_days,upstream_drawdown_pct_of_target_runoff,upstream_fill_pct_of_target_runoff
7201,22855,2001,dry,0,0.095654,-3.9062,0.0,-3.9062,0,0,0.0,0.0,0.0,-40.836896,-4083.689587,-3675.320628,0.0,0.0
7201,22855,2001,pre_monsoon,0,0.266084,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2001,monsoon,0,0.626269,2.9632,0.0,2.9632,0,0,0.0,0.0,0.0,4.731517,473.151687,435.299552,0.0,0.0
7201,22855,2001,winter,0,1.108182,-1.0971,0.0,-1.0971,0,0,0.0,0.0,0.0,-0.99,-98.999992,-91.079993,0.0,0.0
7201,22855,2002,dry,0,0.092587,-1.3492,0.0,-1.3492,0,0,0.0,0.0,0.0,-14.572261,-1457.226106,-1311.503495,0.0,0.0
7201,22855,2002,pre_monsoon,0,0.091308,-16.294,0.0,-16.294,0,0,0.0,0.0,0.0,-178.451726,-17845.172614,-16239.107079,0.0,0.0
7201,22855,2002,monsoon,0,0.69066,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2002,winter,0,0.683348,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2003,dry,0,0.098719,-9.9517,0.0,-9.9517,0,0,0.0,0.0,0.0,-100.807928,-10080.792819,-9072.713537,0.0,0.0
7201,22855,2003,pre_monsoon,0,0.33109,-8.4851,0.0,-8.4851,0,0,0.0,0.0,0.0,-25.627753,-2562.775282,-2332.125506,0.0,0.0
7201,22855,2003,monsoon,0,1.121211,-2.6263,0.0,-2.6263,0,0,0.0,0.0,0.0,-2.342378,-234.237785,-215.498763,0.0,0.0
7201,22855,2003,winter,0,1.38031,-0.2756,0.0,-0.2756,0,0,0.0,0.0,0.0,-0.199665,-19.966525,-18.369203,0.0,0.0
7201,22855,2004,dry,0,0.078304,1.4904,0.0,1.4904,0,0,0.0,0.0,0.0,19.033582,1903.35823,1732.055989,0.0,0.0
7201,22855,2004,pre_monsoon,0,0.222514,1.6803,0.0,1.6803,0,0,0.0,0.0,0.0,7.55142,755.142028,687.179245,0.0,0.0
7201,22855,2004,monsoon,0,0.577189,1.1853,0.0,1.1853,0,0,0.0,0.0,0.0,2.053572,205.357186,188.928611,0.0,0.0
7201,22855,2004,winter,0,0.147592,1.9915,0.0,1.9915,0,0,0.0,0.0,0.0,13.493267,1349.326661,1241.380529,0.0,0.0
7201,22855,2005,dry,0,0.016861,5.6907,0.0,5.6907,0,0,0.0,0.0,0.0,337.509223,33750.922308,30375.830078,0.0,0.0
7201,22855,2005,pre_monsoon,0,0.034504,10.1472,0.0,10.1472,0,0,0.0,0.0,0.0,294.090732,29409.073209,26762.25662,0.0,0.0
7201,22855,2005,monsoon,0,0.989648,-13.6754,0.0,-13.6754,0,0,0.0,0.0,0.0,-13.818445,-1381.844532,-1271.296969,0.0,0.0
7201,22855,2005,winter,0,0.294267,0.6909,0.0,0.6909,0,0,0.0,0.0,0.0,2.347867,234.786689,216.003754,0.0,0.0
7201,22855,2006,dry,0,0.068135,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2006,pre_monsoon,0,0.671862,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2006,monsoon,0,3.36293,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7201,22855,2006,winter,0,1.095152,-4.6247,0.0,-4.6247,0,0,0.0,0.0,0.0,-4.222886,-422.288588,-388.505501,0.0,0.0
7201,22855,2007,dry,0,0.112837,-1.9794,0.0,-1.9794,0,0,0.0,0.0,0.0,-17.542101,-1754.210125,-1578.789112,0.0,0.0
7201,22855,2007,pre_monsoon,0,0.851249,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
