target_gww_id,target_gdw_id,season,window,n_years,upstream_impact_days,upstream_fill_pct_of_target_runoff,upstream_count,upstream_impact_pct_of_target_runoff,upstream_delta_storage_mcm,upstream_drawdown_pct_of_target_runoff,system_impact_pct_of_target_runoff,upstream_impact_ratio,target_full_runoff_mcm,target_delta_storage_mcm,upstream_drawdown_proxy_mcm,upstream_fill_proxy_mcm,system_delta_storage_mcm,system_impact_ratio,system_impact_days
7201,22855,dry,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,4006.514405,0.0,0.076425,-1.6052,0.0,0.0,-1.6052,40.065144,3609.669681
7201,22855,pre_monsoon,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,1951.253468,0.0,0.1891,-2.59032,0.0,0.0,-2.59032,19.512535,1775.640656
7201,22855,monsoon,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,-187.514689,0.0,0.800995,-2.43064,0.0,0.0,-2.43064,-1.875147,-172.513514
7201,22855,winter,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,293.029367,0.0,0.72274,0.26194,0.0,0.0,0.26194,2.930294,269.587017
7201,22855,dry,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,-1718.867633,0.0,0.121133,-1.53656,0.0,0.0,-1.53656,-17.188676,-1546.98087
7201,22855,pre_monsoon,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,-1587.793818,0.0,0.44816,-1.62672,0.0,0.0,-1.62672,-15.877938,-1444.892375
7201,22855,monsoon,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,68.690632,0.0,2.827982,3.57636,0.0,0.0,3.57636,0.686906,63.195381
7201,22855,winter,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,-126.468458,0.0,2.057734,-1.71024,0.0,0.0,-1.71024,-1.264685,-116.350982
7201,22855,dry,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,940.870941,0.0,0.100042,0.77222,0.0,0.0,0.77222,9.408709,846.92957
7201,22855,pre_monsoon,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,-130.13294,0.0,0.411965,1.03926,0.0,0.0,1.03926,-1.301329,-118.420975
7201,22855,monsoon,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,-269.004916,0.0,2.240317,0.26084,0.0,0.0,0.26084,-2.690049,-247.484522
7201,22855,winter,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,-637.533775,0.0,1.650386,-7.4756,0.0,0.0,-7.4756,-6.375338,-586.531073
7201,22855,dry,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,2803.758562,0.0,0.140142,8.794945,0.0,0.0,8.794945,28.037586,2503.736964
7201,22855,pre_monsoon,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,-3137.557237,0.0,0.301618,-5.6385,0.0,0.0,-5.6385,-31.375572,-2855.177086
7201,22855,monsoon,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,275.108545,0.0,1.916985,7.316317,0.0,0.0,7.316317,2.751085,253.099861
7201,22855,winter,2016-2021,6,0.0,0.0,0.0,0.0,0.0,0.0,-868.530527,0.0,2.014421,-7.005308,0.0,0.0,-7.005308,-8.685305,-799.048085
8578,22909,dry,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,-133.586915,0.0,1.969367,-3.307794,0.0,0.0,-3.307794,-1.335869,-120.578312
8578,22909,pre_monsoon,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,-13.856506,0.0,7.183067,-1.248296,0.0,0.0,-1.248296,-0.138565,-12.60942
8578,22909,monsoon,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,-2.224562,0.0,31.536405,-0.732138,0.0,0.0,-0.732138,-0.022246,-2.046597
8578,22909,winter,2001-2005,5,0.0,0.0,0.0,0.0,0.0,0.0,-2.697584,0.0,18.430845,-0.572492,0.0,0.0,-0.572492,-0.026976,-2.481777
8578,22909,dry,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,8.239854,0.0,3.289598,0.386263,0.0,0.0,0.386263,0.082399,7.415868
8578,22909,pre_monsoon,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,1.413261,0.0,11.880108,0.303687,0.0,0.0,0.303687,0.014133,1.286067
8578,22909,monsoon,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,0.517263,0.0,65.371359,0.28487,0.0,0.0,0.28487,0.005173,0.475882
8578,22909,winter,2006-2010,5,0.0,0.0,0.0,0.0,0.0,0.0,1.523721,0.0,35.350192,0.527613,0.0,0.0,0.527613,0.015237,1.401823
8578,22909,dry,2011-2015,5,0.0,0.0,0.0,0.0,0.0,0.0,-25.225918,0.0,2.373221,-0.361662,0.0,0.0,-0.361662,-0.252259,-22.71087
