source_gww_id,source_gdw_id,target_gww_id,target_gdw_id,season,hops,direct,window,n_years,fill_share_pct,pair_impact_pct_of_target_runoff,source_delta_storage_mcm,activity_share_pct,drawdown_share_pct,pair_impact_ratio,area_coverage_pct,runoff_coverage_pct,pair_impact_days,target_full_runoff_mcm,source_full_runoff_mcm,signed_storage_change_share_pct
21623,22796,17311,22853,dry,1,1,2001-2005,5,1.332413,-62.849314,-8.8069,2.428206,5.388287,-0.628493,0.53248,0.594085,-56.717496,16.001749,0.091491,13.805793
26992,22794,17311,22853,dry,1,1,2001-2005,5,20.15846,129.967451,18.68112,4.510512,0.026996,1.299675,0.53248,0.594085,117.035172,16.001749,0.091491,-41.950449
44124,22795,17311,22853,dry,1,1,2001-2005,5,18.935367,-62.828464,-5.7188,6.623201,13.263445,-0.628285,2.021205,1.536332,-57.063162,16.001749,0.319849,2.087961
45325,22805,17311,22853,dry,1,1,2001-2005,5,39.84114,348.892826,10.2602,3.701912,7.675997,3.488928,0.97693,0.771976,314.005439,16.001749,0.139519,-3.854081
70830,10451,17311,22853,dry,1,1,2001-2005,5,40.438703,-2492.741205,-112.9802,22.877615,49.80934,-24.927412,3.318143,2.690701,-2243.301278,16.001749,0.531519,103.589458
77528,6576,17311,22853,dry,1,1,2001-2005,5,29.475457,-61.09074,-7.5764,4.15382,6.333763,-0.610907,55.96254,70.639088,-55.161775,16.001749,10.241091,13.713111
64733,22804,17311,22853,dry,2,0,2001-2005,5,33.468046,-186.597713,-45.4148,2.654462,1.964784,-1.865977,0.525348,0.293401,-168.004379,16.001749,0.066293,2.489637
76686,10459,17311,22853,dry,2,0,2001-2005,5,63.675196,-20155.832919,-2659.73,34.270655,39.210223,-201.558329,7.79976,4.786502,-18140.259008,16.001749,1.106318,-44.405922
23471,22818,17311,22853,dry,3,0,2001-2005,5,1.718823,8.260838,1.30784,0.455912,0.069648,0.082608,8.207418,4.991981,7.432788,16.001749,1.15431,-5.308702
68612,10457,17311,22853,dry,3,0,2001-2005,5,,-626.524496,-74.3094,6.095926,11.093505,-6.265245,3.896252,2.610264,-564.131154,16.001749,0.560711,41.613929
